title,price_clean,brand,animal_type,product_type,availability,price_tier
Retractable Cat Wand (Orange),4066.0,Retractable,Cats,Toys,Usually dispatched in 6 to 10 days.,Premium
Backyard Barnyard Chicken Swing Toy for Coop (Round Bar) Handmade in USA! Natural Safe Large Wood Perch Ladder for Poultry Run Rooster Hens Chicks Pet Parrots Pollo Stress Relief for Birds,199.0,Backyard Barnyard,Birds,Toys,,Budget
CuddlyPet Hammock for Dogs,850.0,Generic,Cats,Grooming,Only 2 left in stock.,Mid
"Noodoky Pet Stroller for Cats Dogs Rabbit with Reversible Handle, Dog Stroller for Small or Medium Animal up to 40 Pounds, Doggie Bunny Stroller Carriage (Gray)",7500.0,Noodoky,Cats,Carriers & Strollers,,Premium
"Ubersweet® Gold, 25X14X16Cm: Three Levels Tower Tracks Disc Cat Pet Toy Intelligence Amusement Rides Shelf Dog Cat Training A",2447.0,UBERSWEET,Cats,Toys,Usually dispatched in 2 to 3 weeks.,Premium
"PetNest CR-1 Quality Safest Round Organic Bird Nest House Purely Handmade Love Birds/Sparrow, Small Birds (Brown) (1 Nos)",179.0,Visit the PetNest Store,Birds,Birdcage Accessories,In stock.,Budget
"Yellow Dog Design Easter Dogs Coupler Dog Leash 3/4"" Wide and 12 to 20"" Long, Medium",4206.0,Yellow Dog Design,Cats,"Collars, Harnesses & Leashes",Usually dispatched in 6 to 10 days.,Premium
DIYthinker One Gesture Outline Pattern Pet Tag Keychain Dog Cat ID,1614.51,Bestchong,Cats,"Collars, Harnesses & Leashes",In stock.,Premium
"Bird Chewing Swing Toys Set, Natural Applewood Parrots Standing Perch Toy Set for Bird Cage Accessories(7 Piece Set)",2226.0,Topiky,Birds,Toys,In stock.,Premium
"GlobalNiche® Wine Red, 58X45Cm: Dog House Candy Color Square Pet Kennel Autumn Winter Warm Nest Puppy Cat Bed Sofa Pad Small Dog Mat Teddy Chihuahua Dogg",11035.0,Generic,Cats,Beds & Furniture,Usually dispatched in 2 to 3 weeks.,Premium
Meri SHOPP Cat Scratching Toy Sisal Climb Rope Post Ball with 3-Layer Turntable Layer,5596.0,Generic,Cats,Beds & Furniture,Usually dispatched in 6 to 10 days.,Premium
"Bird Feeding Hanging Cup, Durable Easy to Clean Bird Feeding Cup Stainless Steel Suspensible Original Wood Safe Interesting for Birds for",999.0,BAMC,Birds,Feeding & Watering Supplies,Usually dispatched in 1 to 3 weeks.,Mid
PONDICHERRY Pigeons® - Birds Feeding Cup |(Pack of 3) Birds Water Feeder Connect Any Type of Pet Bottles (3 Water Feeder with 3 Bottle Holder Rings) (Yellow Color),169.0,Pondicherry Pigeons,Birds,Feeding & Watering Supplies,In stock.,Budget
"Petslife Fruit Mix Bird Food, 400 g (Large)",299.0,Visit the Petslife Store,Birds,Food,Only 1 left in stock.,Budget
"OXERA Bird Toy Large Bird Parrot Chewing Toy - Multicolored Natural Wooden Blocks Bird Parrot Tearing Toys Suggested for Large Macaws cokatoos,African Grey and a Variety of Amazon Parrots",1500.0,Visit the OXERA Store,Birds,Toys,Usually dispatched in 2 to 3 days.,Premium
"Freshly Baked Cookie, Real Chicken and Peanut Butter, 2kg 025",448.0,Generic,Small Animals,Food,In stock.,Budget
"Bunny Grass House-Hand Made Edible Natural Grass Hideaway Comfortable Playhouse for Rabbits, Guinea Pigs and Small Animals to Play,Sleep and Eat (style3)",3570.0,PStarDMoon,Small Animals,Houses & Habitats,,Premium
"6 Pieces Hen Chicken Toys, Chicken Mirror Toy with Bells, Chicken Xylophone Toy with 8 Metal Keys, Parrot Grinding Stone, Sepak Takraw Toy, Dangling Bird Toy",1499.0,Sumind,Birds,Toys,,Mid
Pets Empire Bird Parrot Toys Reggae Man for Mini Macaw Cockatoo African Grey 1 Piece,226.59,Visit the PETS EMPIRE Store,Birds,Toys,In stock.,Budget
"Pets Premium Seed Mix of 12 Grains & Nuts, Added with Spirulina & Cuttlefish Bone, Bird Food for Medium Parrots, African Grey, Eclectus, 900 g",395.0,Pets,Birds,Food,In stock.,Budget
Aswadh Stainless Steel Bird Parrot Scratching Stick Outdoor Handheld Standing Frame,2978.0,Generic,Birds,Toys,Usually dispatched in 4 to 5 days.,Premium
"Woofy Cat Cute Printed Dog Puppy Cat Kitten Pet Collar Adjustable Necklace with Bell, Cat Accessories Collar for Kitten Cat (1Pcs Sky Blue Color)",199.0,Woofy,Cats,"Collars, Harnesses & Leashes",In stock.,Budget
"Pet Care International Ultra Feather to Provide Healthy Feathers for Bird Wings (100 Ml), 1 Piece",280.0,Pet Care International,Birds,Health Supplies,In stock.,Budget
"Savic: - Rolly Giant Wheel for Small Pets Like - Hamster, Guinea Pig, Mice, Mouse, and Gerbil | Can be Mounted on Cage Wire | Transparent Activity Ball, Safe to Use and Easy to Clean -19 cm",575.0,Savic,Small Animals,Houses & Habitats,In stock.,Budget
Maxbell Bird Parrot Suspension Bridge Swing Stand Perch Cage Hanging Toys 30x6cm,1172.0,Maxbell,Birds,Toys,Usually dispatched in 4 to 5 days.,Mid
